nazwa;podmiot;bazyl;kod_kreskowy;klasyfikacja
NUWIQ;OCTAPHARMA;000131;05909991211912;B02BD
NUWIQ;OCTAPHARMA;000133;05909991211936;B02BD
ALBUNORM 5%;OCTAPHARMA;000253;05909990726462;B05AA
ALBUNORM 5%;OCTAPHARMA;000258;05909990726493;B05AA
ALITOL;KRKA;000323;03838989531034;C10AX
ALOVIN-N;NOVA;000349;05900007000032;A16AX
ALUSAL;GEDEON RICHTER;000387;05909990248919;A02AB
HERBATKA DLA MATEK KARMI°CYCH PIERSI•;HB-FLOS HEALTH & BEAUTY;000592;05902020822158;V06DX
ANTEOVIN;GEDEON RICHTER;000607;05909990129713;G03AB
ANTEOVIN;GEDEON RICHTER;000608;05909990129720;G03AB
ANTITHROMBIN III NF SHIRE;SHIRE;000634;05909990302512;B01AB
ANUSOL;GOEDECKE;000672;05909990204816;C05AX
APILEPSIN;KRKA;000694;05909990241316;N03AG
AQUA PRO INJECTIONE;BAXTER TERPOL;000819;05909990190522;V07AB
BACTROBAN;GLAXOSMITHKLINE;001043;05909990362318;R01AX
BATRAFEN;SANOFI-AVENTIS;001072;05909990153916;D01AE
BETALOC;ASTRAZENECA;001205;05909990233519;C07AB
ABAKTAL;LEK;000012;05909990066810;J01MA
ACECOR;SPA;000052;05909990041213;C07AB
AESCIN;TEVA;000191;05909990202119;C05CX
AESCULAN;HERBAPOL WROC£AW;000194;05909990007615;C05AD
AESCUVEN FORTE;CESRA;000202;05909990027910;C05CX
AFONILUM SR 250;ABBOTT;000209;05909990441815;R03DA
AGALIN;TEVA KRAK”W;000214;05909990032310;P03AB
ALTRAMET;LEK;000369;05909990220816;A02BA
AMINOPHYLLINUM;TEVA KRAK”W;000434;05909990113422;R03DA
AMINOPHYLLINUM PROLONGATUM;TEVA KRAK”W;000439;05909990281411;R03DA
AMINOPLASMAL B. BRAUN 10%;BRAUN;000446;05909991203634;B05BA
LIPIDEM;BRAUN;000451;05909991204518;B05BA
LIPIDEM;BRAUN;000453;05909991204532;B05BA
AMINOSTERIL KE 10% - BEZ W GLOWODAN”W, Z ELEKTROLITAMI;FRESENIUS KABI;000457;05909990671625;B05BA
